,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
12767,9037,24,USA,m,single,n,78062,3m,I was extremely happy to get a job the i wanted a couple of weeks ago.,I was extremely happy to get a job the i wanted a couple of weeks ago.,True,1,achievement,achievement,1
12776,9058,44,USA,m,single,n,76529,3m,Being accepted to work on this Amazon site after being rejected a few months ago.,Being accepted to work on this Amazon site after being rejected a few months ago.,True,1,achievement,achievement,1
12781,9073,38,USA,m,single,n,64173,3m,I helped a stranger at the clothing store pick a tie out for his graduation.,I helped a stranger at the clothing store pick a tie out for his graduation.,True,1,achievement,achievement,1
12792,9123,23,USA,m,single,n,74425,3m,I was able to win a playoff game in my Dota 2 tournament. ,I was able to win a playoff game in my Dota 2 tournament. ,True,1,achievement,achievement,1
12796,9138,29,USA,f,single,n,104156,3m,I passed a test I studied hard for.,I passed a test I studied hard for.,True,1,achievement,achievement,1
12799,9152,41,USA,m,single,n,85597,3m,My happy moment was when the game I made was finished because it was the first project in a long time that I wanted to do myself rather than doing what I thought I had to.,My happy moment was when the game I made was finished because it was the first project in a long time that I wanted to do myself rather than doing what I thought I had to.,True,1,achievement,achievement,1
12808,9168,30,USA,f,single,n,85632,3m,"As a nursing student, we are expected to learn a lot of information in a short amount of time. At the end of each semester we have to take a HESI fundamentals exam to determine our current status. It has been said that if we are able to pass these exams throughout our time in nursing school, we will have a better chance at passing the NCLEX. I was really nervous going into the exam because we needed a 850 to pass and there were only 50 questions. After I took the exam, I got a grade of 992! I was so excited because there were times I doubted my abilities. ","As a nursing student, we are expected to learn a lot of information in a short amount of time. At the end of each semester we have to take a HESI fundamentals exam to determine our current status. It has been said that if we are able to pass these exams throughout our time in nursing school, we will have a better chance at passing the NCLEX. I was really nervous going into the exam because we needed a 850 to pass and there were only 50 questions. After I took the exam, I got a grade of 992! I was so excited because there were times I doubted my abilities. ",True,6,achievement,achievement,1
12809,9168,30,USA,f,single,n,86632,3m,"Even though we took the HESI fundamentals, we also have to pass our nursing courses with a 77% or higher to progress to the next level. I passed both of my courses with an 80 average! I made a 81% on a cumulative final for my nursing class! I am horrible at cumulative exams because of the overwhelming amount of testable materials.  ","Even though we took the HESI fundamentals, we also have to pass our nursing courses with a 77% or higher to progress to the next level. I passed both of my courses with an 80 average! I made a 81% on a cumulative final for my nursing class! I am horrible at cumulative exams because of the overwhelming amount of testable materials.  ",True,4,achievement,achievement,1
12814,9181,47,USA,f,single,n,116956,24h,"Again with the company split, one of the property managers was really upset that he would no longer be working with me and expressed his displeasure.  It felt good knowing he valued my work.","Again with the company split, one of the property managers was really upset that he would no longer be working with me and expressed his displeasure.  It felt good knowing he valued my work.",True,2,achievement,achievement,1
12819,9193,29,USA,m,single,n,123647,24h,I got a new car.,I got a new car.,True,1,achievement,achievement,1
12820,9206,24,USA,m,single,n,66818,3m,"One last time I remember being happy is when I left my previous job for my current job, because I was given complete freedom to be my own boss. ","One last time I remember being happy is when I left my previous job for my current job, because I was given complete freedom to be my own boss. ",True,1,achievement,achievement,1
12821,9209,26,USA,m,single,n,121886,24h,"Today at work, I completed a major task (an audit) on-time and with a high degree of accuracy. My supervisor praised me, and acknowledged how hard I had worked to accomplish the goal. ","Today at work, I completed a major task (an audit) on-time and with a high degree of accuracy. My supervisor praised me, and acknowledged how hard I had worked to accomplish the goal. ",True,2,achievement,achievement,1
12823,9223,26,USA,m,single,n,77851,3m,Finishing work for the day,Finishing work for the day,True,1,achievement,achievement,1
12824,9224,58,USA,f,single,n,61235,3m,"In March I took part in the Ides of March postcard campaign to let President know how I think he is handling the responsibilities of office; I felt my voice was being heard, and that I was able to do something that matters.","In March I took part in the Ides of March postcard campaign to let President know how I think he is handling the responsibilities of office; I felt my voice was being heard, and that I was able to do something that matters.",True,1,achievement,achievement,1
12825,9230,25,USA,f,single,n,74104,3m,I felt happy when I received the results of my physical therapy board exam because I passed.,I felt happy when I received the results of my physical therapy board exam because I passed.,True,1,achievement,achievement,1
12828,9234,28,USA,f,single,n,86833,3m,I got 2 days off from work to take an exam.,I got 2 days off from work to take an exam.,True,1,achievement,achievement,1
12834,9247,32,USA,f,single,n,126826,24h,It made me happy when I looked at the mirror and noticed I'm losing weight. I have been dieting for a while and today when I woke up I looked at the mirror and noticed I'm slimming down.,It made me happy when I looked at the mirror and noticed I'm losing weight. I have been dieting for a while and today when I woke up I looked at the mirror and noticed I'm slimming down.,True,2,achievement,achievement,1
12844,9281,30,USA,m,single,n,60708,3m,I received a bonus at work.,I received a bonus at work.,True,1,achievement,achievement,1
12866,9365,20,USA,f,single,n,79195,3m,I got my first tattoo a week ago.,I got my first tattoo a week ago.,True,1,achievement,achievement,1
12876,9390,21,USA,m,single,n,64503,3m,I went and took care of errands that I'd been procrastinating on taking care of for a while all in one day. It felt really good because it gave me a sense of responsibility and took a load off my mind.,I went and took care of errands that I'd been procrastinating on taking care of for a while all in one day. It felt really good because it gave me a sense of responsibility and took a load off my mind.,True,2,achievement,achievement,1
12878,9401,25,USA,m,single,n,91099,3m,I had a job interview a couple weeks ago that went very well and could potentially lead to me getting a better job.,I had a job interview a couple weeks ago that went very well and could potentially lead to me getting a better job.,True,1,achievement,achievement,1
12887,9430,28,USA,f,single,y,112593,24h,Getting my eyebrows done for free. This was a happy moment for me because the person didnt gave to service me for free but she did. Normally it would have cost $300 but i got it free so thar made me happy. Yea ,Getting my eyebrows done for free. This was a happy moment for me because the person didnt gave to service me for free but she did. Normally it would have cost $300 but i got it free so thar made me happy. Yea ,True,4,achievement,achievement,1
12906,9475,28,USA,m,single,n,49055,24h,We started a new job today and the plants we purchased were beautiful.,We started a new job today and the plants we purchased were beautiful.,True,1,achievement,achievement,1
12912,9503,23,USA,f,single,n,32445,24h,"I found out that I passed my qualifying exam at my graduate school, which was a huge hurdle I had to overcome and was very nervous about.","I found out that I passed my qualifying exam at my graduate school, which was a huge hurdle I had to overcome and was very nervous about.",True,1,achievement,achievement,1
12918,9538,25,USA,m,single,n,113617,24h,Got accepted in my major at college and found out I can graduate a semester early.,Got accepted in my major at college and found out I can graduate a semester early.,True,1,achievement,achievement,1
12928,9585,33,USA,m,single,n,38824,24h,I went to the car wash and cleaned my car.,I went to the car wash and cleaned my car.,True,1,achievement,achievement,1
12929,9587,30,USA,m,single,n,59571,3m,I completed a big project at work that was seen by upper management and received compliments on my work.,I completed a big project at work that was seen by upper management and received compliments on my work.,True,1,achievement,achievement,1
12931,9590,30,USA,m,single,n,66954,3m,I won a raffle for an item that normally costs 200$ from a 5$ ticket and it was something that I use routinely.,I won a raffle for an item that normally costs 200$ from a 5$ ticket and it was something that I use routinely.,True,1,achievement,achievement,1
12937,9600,24,USA,m,single,n,64281,3m,Found a way to make extra cash on the side,Found a way to make extra cash on the side,True,1,achievement,achievement,1
12943,9619,23,USA,o,single,n,114084,24h,"I worked out twice today, and managed to not only run 3 miles, but also did another 30 minute workout. I feel so accomplished because of it.","I worked out twice today, and managed to not only run 3 miles, but also did another 30 minute workout. I feel so accomplished because of it.",True,2,achievement,achievement,1
12945,9635,29,USA,f,single,n,86707,3m,We found a really great house we are looking to buy.,We found a really great house we are looking to buy.,True,1,achievement,achievement,1
12946,9635,29,USA,f,single,n,87707,3m,I got caught up on most of the chores around the house.,I got caught up on most of the chores around the house.,True,1,achievement,achievement,1
12951,9670,39,USA,m,single,n,123613,24h,I caught a lot of easy tasks on the Mechanical Turk platform and made enough money to buy food for a couple more days.,I caught a lot of easy tasks on the Mechanical Turk platform and made enough money to buy food for a couple more days.,True,1,achievement,achievement,1
12954,9685,22,USA,f,single,n,62829,3m,Yesterday I was accepted to an internship position that I was really hoping to get.,Yesterday I was accepted to an internship position that I was really hoping to get.,True,1,achievement,achievement,1
12965,9739,19,USA,f,single,n,123128,24h,I managed to finish one of the tasks I needed for a project which revolved around gathering a few objects to use for it.,I managed to finish one of the tasks I needed for a project which revolved around gathering a few objects to use for it.,True,1,achievement,achievement,1
12971,9764,31,USA,m,single,n,70893,3m,"I won playing Keno at dinner, which I always play and never win! ","I won playing Keno at dinner, which I always play and never win! ",True,1,achievement,achievement,1
12974,9776,30,USA,f,single,n,74974,3m,I won $4 dollars on a lottery scratch ticket.,I won $4 dollars on a lottery scratch ticket.,True,1,achievement,achievement,1
12975,9776,30,USA,f,single,n,76970,3m,I lost 5 pounds.,I lost 5 pounds.,True,1,achievement,achievement,1
12980,9802,29,USA,f,single,n,41774,24h,My boss told me I'd been doing a very good job over the last month. ,My boss told me I'd been doing a very good job over the last month. ,True,1,achievement,achievement,1
12981,9804,29,USA,f,single,n,79515,3m,Meeting my savings goal for the past 3 months.,Meeting my savings goal for the past 3 months.,True,1,achievement,achievement,1
12982,9805,22,USA,m,single,n,92442,3m,Doing well on an exam that I had studied over 40 hours and gave up a lot of sleep for.,Doing well on an exam that I had studied over 40 hours and gave up a lot of sleep for.,True,1,achievement,achievement,1
12987,9832,29,USA,m,single,n,72413,3m,"I dropped an opened, plastic bottle of juice on the floor. It landed perfectly upright. ","I dropped an opened, plastic bottle of juice on the floor. It landed perfectly upright. ",True,2,achievement,achievement,1
12992,9845,34,USA,f,single,n,65324,3m,I received a promotion I worked long and hard for. ,I received a promotion I worked long and hard for. ,True,1,achievement,achievement,1
12995,9856,40,USA,f,single,y,67452,3m,I won $300 on a scratch-off lottery ticket.,I won $300 on a scratch-off lottery ticket.,True,1,achievement,achievement,1
12998,9865,32,USA,m,single,n,107880,3m,My band played a great show.,My band played a great show.,True,1,achievement,leisure,1
13007,9916,24,USA,m,single,n,125605,24h,I became happy when I realized that I actually got over 7 hours of sleep last night.,I became happy when I realized that I actually got over 7 hours of sleep last night.,True,1,achievement,enjoy_the_moment,1
13026,9975,19,USA,f,single,n,65055,3m,A few days ago when I finally saved up enough money to buy my first car.,A few days ago when I finally saved up enough money to buy my first car.,True,1,achievement,achievement,1
13029,9979,22,USA,f,single,n,108047,3m,I was the first in my family to graduate with my Bachelor's degree from a state university.,I was the first in my family to graduate with my Bachelor's degree from a state university.,True,1,achievement,achievement,1
13036,9995,25,USA,m,single,n,41360,24h,I discovered a new streaming website.,I discovered a new streaming website.,True,1,achievement,achievement,1
13044,10020,39,USA,f,single,n,59620,3m,I bought a new bird feeder system for my yard.,I bought a new bird feeder system for my yard.,True,1,achievement,achievement,1
13047,10029,25,USA,m,single,n,94370,3m,"I was playing a game called League of Legends, which has a ranking system that ranks you against other players, and I finally made my personal goal of getting gold rank last month. ","I was playing a game called League of Legends, which has a ranking system that ranks you against other players, and I finally made my personal goal of getting gold rank last month. ",True,1,achievement,achievement,1
13055,10046,20,USA,m,single,n,38455,24h,Finished all the work I needed to do for my job on site before lunch.,Finished all the work I needed to do for my job on site before lunch.,True,1,achievement,achievement,1
13073,10108,27,USA,f,single,n,69587,3m,I booked my wedding venue and it was the one I was hoping for.,I booked my wedding venue and it was the one I was hoping for.,True,1,achievement,achievement,1
13078,10128,30,USA,m,single,n,98094,3m,I was happy to teach my lab techs (students) new skills around the science lab.,I was happy to teach my lab techs (students) new skills around the science lab.,True,1,achievement,achievement,1
13088,10156,22,USA,m,single,n,117054,24h,I was happy to find out I got a new part time job.,I was happy to find out I got a new part time job.,True,1,achievement,achievement,1
13096,10189,25,USA,f,single,n,102349,3m,"Completing a DIY project, repairing my desk, by myself and having it turn out halfway decent.","Completing a DIY project, repairing my desk, by myself and having it turn out halfway decent.",True,1,achievement,achievement,1
13105,10216,36,USA,f,single,y,103382,3m,"I was able to move after 6 years living in my old location.

","I was able to move after 6 years living in my old location.

",True,1,achievement,achievement,1
13121,10270,20,USA,m,single,n,76614,3m,Another one of my happiest moment's was my acceptance to the Dean's list this month in college. I have been studying long and hard for what seems like an eternity and am glad to see things finally paying off.,Another one of my happiest moment's was my acceptance to the Dean's list this month in college. I have been studying long and hard for what seems like an eternity and am glad to see things finally paying off.,True,2,achievement,achievement,1
13124,10277,20,USA,f,single,n,81911,3m,I made Dean's list for the first time this semester.,I made Dean's list for the first time this semester.,True,1,achievement,achievement,1
13127,10285,54,USA,m,single,n,35144,24h,"Ordering over 8 lbs of animal crackers and six pounds of frosted Pop Tarts on Amazon half an hour ago, and thoughts of finally having some carbohydrates (I eat only once every 24 hours because of a lack of income, no welfare or food bank help, which I would NEVER ask for.) I've lost over 120 lbs this last year since my mother died.","Ordering over 8 lbs of animal crackers and six pounds of frosted Pop Tarts on Amazon half an hour ago, and thoughts of finally having some carbohydrates (I eat only once every 24 hours because of a lack of income, no welfare or food bank help, which I would NEVER ask for.) I've lost over 120 lbs this last year since my mother died.",True,2,achievement,achievement,1
13142,10333,18,USA,m,single,n,76959,3m,"I was awarded a $1,500 scholarship from the alumni association in my school.","I was awarded a $1,500 scholarship from the alumni association in my school.",True,1,achievement,achievement,1
13149,10356,42,USA,f,single,n,34665,24h,I won a dollar on an app. ,I won a dollar on an app. ,True,1,achievement,achievement,1
13168,10424,28,USA,m,single,n,108819,3m,I finally got an electric guitar and a bass.,I finally got an electric guitar and a bass.,True,1,achievement,achievement,1
13172,10448,30,USA,m,single,n,122251,24h,"I finished my scheduled work week on time, and was not asked to work overtime.  ","I finished my scheduled work week on time, and was not asked to work overtime.  ",True,1,achievement,achievement,1
13181,10496,23,USA,f,single,n,65104,3m,"When I weighed myself and realized I had lost 6 pounds, and that my healthy efforts were leading to real results! ","When I weighed myself and realized I had lost 6 pounds, and that my healthy efforts were leading to real results! ",True,1,achievement,achievement,1
13182,10501,26,USA,f,single,n,71077,3m,Winning a basketball game against my friend made me happy because all my practice paid off. ,Winning a basketball game against my friend made me happy because all my practice paid off. ,True,1,achievement,achievement,1
13196,10566,25,USA,m,single,n,62489,3m,Making money at my new job.,Making money at my new job.,True,1,achievement,achievement,1
13211,10615,34,USA,m,single,n,47368,24h,When I had set a business goal and achieved just in time.,When I had set a business goal and achieved just in time.,True,1,achievement,achievement,1
13212,10622,33,USA,f,single,n,63742,3m,"tested a theory successfully. all these events are mixed, some happy aspect and some not. ","tested a theory successfully. all these events are mixed, some happy aspect and some not. ",True,2,achievement,achievement,1
13215,10634,22,USA,m,single,n,64651,3m,I received a raise at work. ,I received a raise at work. ,True,1,achievement,achievement,1
13226,10673,30,USA,f,single,n,64400,3m,"After interviewing for a job, I was soon informed that they wanted me to work with them.","After interviewing for a job, I was soon informed that they wanted me to work with them.",True,1,achievement,achievement,1
13238,10707,28,USA,m,single,n,69886,3m,I attempted a new recipe for dinner and it tasted really good.,I attempted a new recipe for dinner and it tasted really good.,True,1,achievement,achievement,1
13239,10707,28,USA,m,single,n,71886,3m,I have learned a lot about a hobby that I am studying and after a lot of work I am getting better at it.,I have learned a lot about a hobby that I am studying and after a lot of work I am getting better at it.,True,1,achievement,achievement,1
13241,10717,20,USA,f,single,n,92478,3m,"Another happy moment was receiving my letter of acceptance to my top choice university, and discovering that the financial package was manageable.","Another happy moment was receiving my letter of acceptance to my top choice university, and discovering that the financial package was manageable.",True,1,achievement,achievement,1
13250,10747,21,USA,m,single,n,107449,3m,"Another happy moment i had was when i found out i was accepted into pharmacy school, i was ecstatic because i have been working at this for so long.","Another happy moment i had was when i found out i was accepted into pharmacy school, i was ecstatic because i have been working at this for so long.",True,1,achievement,achievement,1
13275,10842,25,USA,m,single,n,100885,3m,An event in the past 3 months that has made me happy is when I found out I was accepted into graduate school for school psychology.,An event in the past 3 months that has made me happy is when I found out I was accepted into graduate school for school psychology.,True,1,achievement,achievement,1
13282,10850,22,USA,m,single,n,92809,3m,I was payed from all of my hard work.,I was payed from all of my hard work.,True,1,achievement,achievement,1
13296,10895,60,USA,m,single,n,61005,3m,Hired for an online freelance job as a software tester.,Hired for an online freelance job as a software tester.,True,1,achievement,achievement,1
13308,10931,46,USA,m,single,n,105426,3m,I found $20 in a pair of pants I'd not worn in awhile and in fact found it at a time I needed some cash.,I found $20 in a pair of pants I'd not worn in awhile and in fact found it at a time I needed some cash.,True,1,achievement,achievement,1
13317,10977,23,USA,f,single,n,64678,3m,I overcame my fear of snakes.,I overcame my fear of snakes.,True,1,achievement,achievement,1
13324,11010,27,USA,m,single,n,28421,24h,I bought a new laptop.,I bought a new laptop.,True,1,achievement,achievement,1
13332,11039,26,USA,m,single,n,93807,3m,i made a purchase to upgrade my computer ,i made a purchase to upgrade my computer ,True,1,achievement,achievement,1
13340,11085,37,USA,m,single,y,69550,3m,Filing my yearly business taxes and finding out that I didn't have to pay anything to the IRS.,Filing my yearly business taxes and finding out that I didn't have to pay anything to the IRS.,True,1,achievement,achievement,1
13341,11085,37,USA,m,single,y,71550,3m,Marketing something for my business and it actually worked and paid off!,Marketing something for my business and it actually worked and paid off!,True,1,achievement,achievement,1
13342,11090,18,USA,m,single,n,99138,3m,I received good grades in my last quarter of university after I worked hard and studied a lot.  ,I received good grades in my last quarter of university after I worked hard and studied a lot.  ,True,1,achievement,achievement,1
13374,11186,33,USA,m,single,n,71765,3m,I won a bike in a raffle.,I won a bike in a raffle.,True,1,achievement,achievement,1
13398,11231,32,USA,f,single,n,89401,3m,I finally found a skin care regimen that works for my skin type.,I finally found a skin care regimen that works for my skin type.,True,1,achievement,achievement,1
13402,11239,26,USA,m,single,n,87103,3m,I got a New 3DS.,I got a New 3DS.,True,1,achievement,achievement,1
13411,11259,32,USA,m,single,n,120087,24h,I was able to get some hours at my job for the summer when I didn't think that I was going to be able to.  I am a teacher and I didn't have anything lined up for the summer as far as work. ,I was able to get some hours at my job for the summer when I didn't think that I was going to be able to.  I am a teacher and I didn't have anything lined up for the summer as far as work. ,True,2,achievement,achievement,1
13419,11272,28,USA,m,single,n,82184,3m,"I was sick and bed ridden a few weeks ago, but I was able to teach myself a new programming language pretty well within a 12 hour period in a single day on my laptop, and felt quite proud with what I had accomplished in a day.","I was sick and bed ridden a few weeks ago, but I was able to teach myself a new programming language pretty well within a 12 hour period in a single day on my laptop, and felt quite proud with what I had accomplished in a day.",True,1,achievement,achievement,1
13427,11321,27,USA,f,single,n,63842,3m,"The depressive period that I've been in for the last 2-3 years has finally lifted to the extent that I'm able to meet my basic needs, and complete basic activities of daily living. ","The depressive period that I've been in for the last 2-3 years has finally lifted to the extent that I'm able to meet my basic needs, and complete basic activities of daily living. ",True,1,achievement,achievement,1
13450,11389,21,USA,m,single,n,58797,3m,I received a commendation from my supervisor at work for working well on a project.,I received a commendation from my supervisor at work for working well on a project.,True,1,achievement,achievement,1
13452,11398,43,USA,m,single,y,125038,24h,I experimented with a new dinner and turned out really well.,I experimented with a new dinner and turned out really well.,True,1,achievement,achievement,1
13459,11432,26,USA,f,single,n,106499,3m,"After a week of adding things to my cart, I placed a large Erin Condren order on Friday full of things I've been pining after for a while.","After a week of adding things to my cart, I placed a large Erin Condren order on Friday full of things I've been pining after for a while.",True,1,achievement,achievement,1
13465,11468,29,USA,m,single,n,66734,3m,I finished an almost year-long course training to become a Life Coach. ,I finished an almost year-long course training to become a Life Coach. ,True,1,achievement,achievement,1
13470,11480,24,USA,m,single,n,66198,3m,my team of friends won a basketball match one month back against the local team right around the block. it was a friendly match and we had a party that evening,my team of friends won a basketball match one month back against the local team right around the block. it was a friendly match and we had a party that evening,True,2,achievement,achievement,1
13476,11496,27,USA,m,single,n,68664,3m,When I caught my first fish of the year.,When I caught my first fish of the year.,True,1,achievement,achievement,1
13479,11501,29,USA,m,single,n,36382,24h,"I got home and the floor was cleaned, we had food in the fridge and I realized I could make small bits of money doing this.","I got home and the floor was cleaned, we had food in the fridge and I realized I could make small bits of money doing this.",True,1,achievement,achievement,1
13480,11501,29,USA,m,single,n,36982,24h,"I made fresh chocolate chip cookies, from scratch. They turned out perfect and I had milk.","I made fresh chocolate chip cookies, from scratch. They turned out perfect and I had milk.",True,2,achievement,achievement,1
13481,11504,23,USA,f,single,n,71007,3m,I have been saving money .,I have been saving money .,True,1,achievement,achievement,1
13486,11530,31,USA,m,single,y,105297,3m,When I get a bunch of orders for my small business. ,When I get a bunch of orders for my small business. ,True,1,achievement,achievement,1
13487,11534,25,USA,m,single,n,56328,24h,"I received an email from a company that I applied for stating that my application had been rejected.  A hour later, I got an email from the recruiter stating that my application has been re-considered.  This event made me happy because it was such a relief that my interview wasn't withdrawn.","I received an email from a company that I applied for stating that my application had been rejected.  A hour later, I got an email from the recruiter stating that my application has been re-considered.  This event made me happy because it was such a relief that my interview wasn't withdrawn.",True,3,achievement,achievement,1
13494,11565,20,USA,f,single,n,113290,24h,I went to work and it didn't make me want to kill myself.,I went to work and it didn't make me want to kill myself.,True,1,achievement,achievement,1
13497,11570,33,USA,f,single,n,65848,3m,I was happy that I was able cook a nice dish for Easter.,I was happy that I was able cook a nice dish for Easter.,True,1,achievement,achievement,1
13500,11580,36,USA,m,single,n,43295,24h,"I made a recipe that I've tried several times before, but made some adjustments this time, and it came out much better than usual.","I made a recipe that I've tried several times before, but made some adjustments this time, and it came out much better than usual.",True,1,achievement,achievement,1
13501,11580,36,USA,m,single,n,43495,24h,"I had trouble sleeping, but instead of trying to suffer through it, I got up and got an early start my Monday, despite the fact that several fibers of my being were screaming not to.","I had trouble sleeping, but instead of trying to suffer through it, I got up and got an early start my Monday, despite the fact that several fibers of my being were screaming not to.",True,1,achievement,achievement,1
13502,11587,27,USA,f,single,n,91312,3m,When I got a new car.,When I got a new car.,True,1,achievement,achievement,1
13507,11600,26,USA,m,single,n,98591,3m,I went to a professional golf event for the first time.,I went to a professional golf event for the first time.,True,1,achievement,achievement,1
13524,11662,24,USA,f,single,n,73681,3m,An event that made me happy in the past 3 months was passing my final clinical rotation for my master program in occupational therapy. ,An event that made me happy in the past 3 months was passing my final clinical rotation for my master program in occupational therapy. ,True,1,achievement,achievement,1
13528,11667,27,USA,m,single,n,107662,3m,Last Saturday I was happy because I did some volunteer work in the morning.,Last Saturday I was happy because I did some volunteer work in the morning.,True,1,achievement,achievement,1
13532,11676,29,USA,f,single,n,40037,24h,I finally got around to doing some much needed pampering of myself.,I finally got around to doing some much needed pampering of myself.,True,1,achievement,achievement,1
13542,11699,26,USA,m,single,n,79797,3m,I was able to pay off a loan.,I was able to pay off a loan.,True,1,achievement,achievement,1
13555,11741,25,USA,f,single,n,121372,24h,"i just started my online store and someone bought something from it yesterday, i was so happy","i just started my online store and someone bought something from it yesterday, i was so happy",True,1,achievement,achievement,1
13556,11746,23,USA,m,single,n,73302,3m,I purchased tickets and planned a trip for my first vacation outside of the country to a country that I have wanted to visit for many years.,I purchased tickets and planned a trip for my first vacation outside of the country to a country that I have wanted to visit for many years.,True,1,achievement,achievement,1
13558,11753,40,USA,m,single,n,66942,3m,"I needed to replace a light bulb in a headlight in my car. I was scared that I wasn't going to be able to fix it myself. After going online and finding out how to do it, I was able to change the lightbulb.","I needed to replace a light bulb in a headlight in my car. I was scared that I wasn't going to be able to fix it myself. After going online and finding out how to do it, I was able to change the lightbulb.",True,3,achievement,achievement,1
13560,11756,23,USA,m,single,n,75651,3m,I was hired for the job I wanted.,I was hired for the job I wanted.,True,1,achievement,achievement,1
13566,11805,25,USA,m,single,n,70077,3m,I stopped smoking.  I really didnt like it anymore.  THe fact I was able tos top made me proud of my self.  Also just better for my health generally.,I stopped smoking.  I really didnt like it anymore.  THe fact I was able tos top made me proud of my self.  Also just better for my health generally.,True,4,achievement,achievement,1
13572,11821,37,USA,f,single,n,95123,3m,MY sisters cancer treatment was successful and she is now in remission. ,MY sisters cancer treatment was successful and she is now in remission. ,True,1,achievement,achievement,1
13574,11827,28,USA,m,single,n,70928,3m,I was happy when I first got my college diploma this winter and opened it up to see my name.,I was happy when I first got my college diploma this winter and opened it up to see my name.,True,1,achievement,achievement,1
13578,11840,24,USA,f,single,n,114165,24h,I was correct in my task at work.,I was correct in my task at work.,True,1,achievement,achievement,1
13579,11845,25,USA,f,single,n,72729,3m,Getting a 100% for my store's performance score at work. It made me really happy that we were the best performing store in the district and that our hard work was recognized by my manager. It made me happy because I felt as though my effort and holding my associates accountable has begun to paid off. It made me realize how lucky I am to have the team I have to work with.,Getting a 100% for my store's performance score at work. It made me really happy that we were the best performing store in the district and that our hard work was recognized by my manager. It made me happy because I felt as though my effort and holding my associates accountable has begun to paid off. It made me realize how lucky I am to have the team I have to work with.,True,4,achievement,achievement,1
13587,11888,24,USA,m,single,n,110584,24h,yesterday i cooked fried fish,yesterday i cooked fried fish,True,1,achievement,achievement,1
13615,11981,29,USA,f,single,n,74322,3m,When I managed to get my custom PC up and running for the first time.,When I managed to get my custom PC up and running for the first time.,True,1,achievement,achievement,1
13640,12070,23,USA,f,single,n,72926,3m,I payed off my overdraft fees and got my bank account in the positive again. ,I payed off my overdraft fees and got my bank account in the positive again. ,True,1,achievement,achievement,1
13643,12087,25,USA,m,single,n,62408,3m,I was accepted to be an mturk worker. The extra cash is an oasis in a desert right now. ,I was accepted to be an mturk worker. The extra cash is an oasis in a desert right now. ,True,2,achievement,achievement,1
13648,12093,35,USA,f,single,n,78086,3m,"I decided to see a chiropractor to fix back issues.  I did daily massages, but never went to a chiropractor.  My quality of life has improved by going on a weekly basis. I am glad I invested in myself.","I decided to see a chiropractor to fix back issues.  I did daily massages, but never went to a chiropractor.  My quality of life has improved by going on a weekly basis. I am glad I invested in myself.",True,4,achievement,achievement,1
13661,12132,35,USA,m,single,n,92458,3m,I won Castlevania Lords of Shadow 2.,I won Castlevania Lords of Shadow 2.,True,1,achievement,achievement,1
13662,12134,21,USA,m,single,n,79093,3m,Got paid 200 dollars,Got paid 200 dollars,True,1,achievement,achievement,1
13668,12147,29,USA,m,single,n,80643,3m,I received word that I would receive a job offer.,I received word that I would receive a job offer.,True,1,achievement,achievement,1
13669,12149,37,USA,f,single,n,112444,24h,I found out that work would not be cutting back my hours as much as I thought,I found out that work would not be cutting back my hours as much as I thought,True,1,achievement,achievement,1
13672,12164,24,USA,f,single,y,109762,24h,Yesterday I had won a free fifty dollar walmart card for submitting a survey in the store.,Yesterday I had won a free fifty dollar walmart card for submitting a survey in the store.,True,1,achievement,achievement,1
13687,12200,33,USA,f,single,n,124358,24h,My previous manager offers me a job while I was actively looking for one.,My previous manager offers me a job while I was actively looking for one.,True,1,achievement,achievement,1
13696,12241,37,USA,m,single,n,55196,24h,I was told that i am getting a new job making more money.,I was told that i am getting a new job making more money.,True,1,achievement,achievement,1
13697,12242,27,USA,m,single,n,77573,3m,Winning a poker tournament at a local casino,Winning a poker tournament at a local casino,True,1,achievement,achievement,1
13699,12245,23,USA,m,single,n,75176,3m,I won a basketball game with my friends and scored the decisive point with a very impressive shot. ,I won a basketball game with my friends and scored the decisive point with a very impressive shot. ,True,1,achievement,achievement,1
13706,12269,25,USA,f,single,n,78994,3m,I found out that I am ranked in the top three of the rocky mountain region for leadership within my coorperation. I do not formally hold a leadership title despite maintaining and growing my team within the company for the last three years. This has made me feel very successful without technically being able to have this qualification within my jurisdiction. ,I found out that I am ranked in the top three of the rocky mountain region for leadership within my corporation. I do not formally hold a leadership title despite maintaining and growing my team within the company for the last three years. This has made me feel very successful without technically being able to have this qualification within my jurisdiction. ,False,3,achievement,achievement,1
13709,12280,28,USA,m,single,n,88482,3m,The event that made me happy happened in July of 2016 when I got hired as dod contractor deploying to afganastan. ,The event that made me happy happened in July of 2016 when I got hired as dod contractor deploying to Afghanistan. ,False,1,achievement,achievement,1
13710,12280,28,USA,m,single,n,90482,3m,In 2008 I felt some much excitement when I accepted into the air force,In 2008 I felt some much excitement when I accepted into the air force,True,1,achievement,achievement,1
13730,12349,20,USA,m,single,n,79261,3m,Starting to lose weight,Starting to lose weight,True,1,achievement,achievement,1
13734,12371,31,USA,m,single,n,98183,3m,Today I finally hit 1000 approved HITs which was a big milestone for me.,Today I finally hit 1000 approved HITs which was a big milestone for me.,True,1,achievement,achievement,1
